language,symbol,text
"English","en","Sell ​​your property, give money to the poor, follow Christ!"
"Arabic","ar","بعوا ممتلكاتكم ، أعطوا نقوداً للفقراء ، اتبعوا المسيح!"
"Bengali","bn","আপনার সম্পত্তি বিক্রি করুন, গরীবদের অর্থ দিন, খ্রীষ্টের অনুসরণ করুন!"
"Bulgarian","bg","Продайте имота си, дайте пари на бедните, следвайте Христос!"
"Croatian","hr","Prodajte svoju imovinu, dajte novac siromašnima, slijedite Krista!"
"Esperanto","eo","Vendu vian posedaĵon, donu monon al malriĉuloj, sekvu Kriston!"
"French","fr","Vendez votre propriété, donnez de l'argent aux pauvres, suivez le Christ!"
"Indonesian","id","Jual properti Anda, berikan uang kepada orang miskin, ikuti Kristus!"
"Latvian","lv","Pārdod savu īpašumu, dod naudu nabadzīgajiem, seko Kristum!"
"Marathi","mr","आपली संपत्ती विक्री करा, गरिबांना पैसे द्या, ख्रिस्ताच्या मागे जा."
"Romanian","ro","Vindeți-vă proprietatea, dați bani săracilor, urmați-L pe Hristos!"
"Slovenian","sl","Prodajajte svoje premoženje, dajte denar revnim, sledite Kristusu!"
"Tamil","ta","உங்கள் சொத்தை விற்கவும், ஏழைகளுக்கு பணம் கொடுங்கள், கிறிஸ்துவைப் பின்பற்றுங்கள்!"
"Ukrainian","uk","Продавайте Ваше майно, роздавайте гроші бідним, слідуйте за Христом!"
"Catalan","ca","Ven la teva propietat, dóna diners als pobres, segueix Crist!"
"Chinese Simplified","zh-cn","卖掉你的财产，把钱捐给穷人，跟随基督！"
"Chinese Traditional","zh-tw","賣掉你的財產，把錢捐給窮人，跟隨基督！"
"Dutch","nl","Verkoop uw eigendom, geef geld aan de armen, volg Christus!"
"Danish","da","Sælg din ejendom, giv penge til de fattige, følg Kristus!"
"Czech","cs","Prodejte svůj majetek, dejte peníze chudým, následujte Krista!"
"Estonian","et","Müü oma vara maha, anna vaestele raha, järgi Kristust!"
"Filipino","tl","Ibenta ang iyong pag-aari, magbigay ng pera sa mga mahihirap, sundin si Kristo!"
"Finnish","fi","Myy omaisuutesi, anna rahaa köyhille, seuraa Kristusta!"
"Hebrew","iw","תמכור את הרכוש שלך, תן כסף לעניים, עקוב אחרי המשיח!"
"Greek","el","Πουλήστε την περιουσία σας, δώστε χρήματα στους φτωχούς, ακολουθήστε τον Χριστό!"
"German","de","Verkaufen Sie Ihr Eigentum, geben Sie den Armen Geld, folgen Sie Christus!"
"Italian","it","Vendi la tua proprietà, dai soldi ai poveri, segui Cristo!"
"Japanese","ja","あなたの財産を売り、貧しい人々にお金を与え、キリストに従ってください！"
"Korean","ko","재산을 팔고 가난한 사람들에게 돈을주고 그리스도를 따르십시오!"
"Malayalam","ml","നിങ്ങളുടെ സ്വത്ത് വിൽക്കുക, ദരിദ്രർക്ക് പണം നൽകുക, ക്രിസ്തുവിനെ അനുഗമിക്കുക!"
"Malay","ms","Jual harta anda, berikan wang kepada orang miskin, ikuti Kristus!"
"Lithuanian","lt","Parduok savo turtą, duok pinigų vargšams, sek Kristų!"
"Norwegian","no","Selg eiendommen din, gi penger til de fattige, følg Kristus!"
"Polish","pl","Sprzedaj swój majątek, rozdaj pieniądze ubogim, idź za Chrystusem!"
"Portuguese","pt","Venda sua propriedade, dê dinheiro aos pobres, siga a Cristo!"
"Slovak","sk","Predajte svoj majetok, dajte peniaze chudobným, nasledujte Krista!"
"Serbian","sr","Продајте своју имовину, дајте новац сиромашнима, следите Христа!"
"Spanish","es","¡Vende tu propiedad, da dinero a los pobres, sigue a Cristo!"
"Swedish","sv","Sälj din egendom, ge pengar till de fattiga, följ Kristus!"
"Thai","th","ขายทรัพย์สินของคุณให้เงินแก่คนยากจนติดตามพระคริสต์!"
"Turkish","tr","Mülkünüzü sat, fakirlere para ver, İsa'yı takip et!"
"Tajik","tg","Амволи худро фурӯшед, ба камбағалон пул диҳед, ба Масеҳ пайравӣ кунед!"
"Telugu","te","మీ ఆస్తిని అమ్మేయండి, పేదలకు డబ్బు ఇవ్వండి, క్రీస్తును అనుసరించండి!"
"Urdu","ur","اپنی جائیداد بیچ دو ، غریبوں کو پیسہ دو ، مسیح کی پیروی کرو!"
"Vietnamese","vi","Hãy bán tài sản của bạn, đưa tiền cho người nghèo, hãy theo Chúa Kitô!"
"Afrikaans","af","Verkoop u eiendom, gee geld aan die armes, volg Christus!"
"Albanian","sq","Shisni pronën tuaj, jepni para të varfërve, ndiqni Krishtin!"
"Amharic","am","ንብረትዎን ይሽጡ ፣ ለድሆች ገንዘብ ይስጡ ፣ ክርስቶስን ይከተሉ!"
"Armenian","hy","Վաճառեք ձեր ունեցվածքը, փող տվեք աղքատներին, հետևեք Քրիստոսին:"
"Bosnian","bs","Prodajte svoju imovinu, dajte novac siromašnima, slijedite Krista!"
"Belarusian","be","Прадавайце Ваша маёмасць, раздавайце грошы бедным, прытрымлівайцеся за Хрыстом!"
"Basque","eu","Saldu zure ondasunak, eman dirua pobreei, jarraitu Kristori!"
"Azerbaijani","az","Malını sat, kasıblara pul ver, Məsihə tabe ol!"
"Cebuano","ceb","Ibaligya ang imong kabtangan, hatagan salapi sa mga kabus, sunda si Kristo!"
"Chichewa","ny","Gulitsani katundu wanu, perekani ndalama kwa osauka, tsatirani Khristu!"
"Corsican","co","Vendite a vostra prupietà, date soldi à i poveri, seguitate Cristu!"
"Frisian","fy","Ferkeapje jo besit, jou jild oan 'e earmen, folgje Kristus!"
"Haitian Creole","ht","Vann pwopriyete w la, bay pòv yo lajan, swiv Kris la!"
"Hmong","hmn","Muag koj teej tug, muab nyiaj rau cov txom nyem, raws Yexus qab!"
"Irish","ga","Díol do mhaoin, tabhair airgead do na boicht, lean Críost!"
"Khmer","km","លក់ទ្រព្យសម្បត្តិរបស់អ្នកឱ្យលុយអ្នកក្រីក្រដើរតាមព្រះគ្រីស្ទ!"
"Latin","la","Vendere rem pecunia pauperibus sequi!"
"Maltese","mt","Biegħ il-propjetà tiegħek, agħti flus lill-foqra, segwi lil Kristu!"
"Nepali","ne","आफ्नो सम्पत्ति बेच्नुहोस्, गरिबहरूलाई पैसा दिनुहोस्, ख्रीष्टलाई पछ्याउनुहोस्!"
"Scots Gaelic","gd","Reic do mhaoin, thoir airgead dha na bochdan, lean Crìosd!"
"Sinhala","si","ඔබේ දේපළ විකුණන්න, දුප්පතුන්ට මුදල් දෙන්න, ක්‍රිස්තුස්ව අනුගමනය කරන්න!"
"Uzbek","uz","Mulkingizni soting, kambag'allarga pul bering, Masihga ergashing!"
"Yoruba","yo","Ta ohun-ini rẹ, fi owo fun awọn talaka, tẹle Kristi!"
"Yiddish","yi","פאַרקויפן דיין פאַרמאָג, געבן געלט צו די נעבעך, נאָכפאָלגן משיח!"
"Swahili","sw","Uza mali yako, toa pesa kwa masikini, fuata Kristo!"
